NumberPlate,RegisteredDate,RegisteredState,OwnerName,VehicleType,VehicleModel,Access
MH12DE1433,4/18/2017,Maharashtra,Rahul Sharma,Car,Maruti Swift,Granted
DL4CNA1234,2/10/2021,Delhi,Amit Verma,Car,Maruti Baleno,Denied
KL01AZ5555,9/15/2019,Kerala,John Mathew,Truck,Tata SE cowl Truck,Granted
KA03MM7890,6/22/2022,Karnataka,Priya Nair,Car,Toyota Innova,Granted
TN09BK4567,11/5/2018,Tamil Nadu,Suresh Kumar,Car,Honda City,Denied
GJ01RT2345,1/14/2023,Gujarat,Neha Patel,Car,Tata Nexon,Granted
RJ14CB6789,8/30/2017,Rajasthan,Vikram Singh,Truck,Tata Ace,Denied
UP32LK9012,12/1/2021,Uttar Pradesh,Anjali Gupta,Car,Maruti Swift,Granted
WB06JH3456,7/19/2020,West Bengal,Arjun Das,Bike,Honda Activa,Granted
HR26DX5678,3/8/2019,Haryana,Rohit Malhotra,Car,Maruti Swift,Denied
